id,level,role,failedChecks,meter,barBeats,meterSuspect,timeline,songBeats,key,detectedKey,keyConfidence,keyDetermined,keyAgrees,notes,range,medianMidi,maximumStop,upperNotes,missedOpens,maxLeap,wideLeapPct,minimumAttackMs,shortestAttackBeats,longestNoteBeats,attacksPer4Beats,repeatedPitchPct,maximumHandShiftMm,measuredDifficulty,entryBeats,entrySeconds,tailBeats,maxGapBeats,liveGapBeats,fillPct,attacks,distinctPitches,pitchClasses,accidentals,accidentalsEitherMode,inKeyDetectedPct,rootPct,rootFifthPct,chordTonePct,bassDoublingPct,rootNullBestPct,rootDiscriminating,openStringPct,belowOpenGPct,stoppedBelowOpenG,extensions,declaredDifficulty,storedLineTier,difficultyMislabelled
"ode-to-joy","Beginner","roots","2","4/4","4","","backing","32","D major","D major","0.09","no","yes","32","D3–A3","55","5","0","0","7","0","574","0.99","1","4","77","0","Beginner","0","0","0","0.3","0.3","79","32","3","3","0","0","100","53","53","66","100","88","no","88","0","0","0","Intermediate","Intermediate",""
"ode-to-joy","Intermediate","bass","0","4/4","4","","backing","32","D major","D major","0.09","no","yes","8","D2–A2","43","2","0","0","7","0","2307","4","4","1","0","0","Beginner","0","0","0","0","0","100","8","3","3","0","0","100","75","75","88","100","88","no","13","50","4","0","Intermediate","Intermediate",""
"ode-to-joy","Advanced","melody","0","4/4","4","","backing","32","D major","D major","0.09","no","yes","30","D2–A2","42","6","0","0","2","0","289","0.5","1.8","3.75","31","0","Intermediate","0","0","0.2","0.2","0.2","90","30","5","5","0","0","100","60","60","87","20","67","no","13","73","22","9","Intermediate","Intermediate",""
"ode-to-joy","Expert","melody","0","4/4","4","","backing","32","D major","D major","0.09","no","yes","30","D2–A2","42","6","0","0","2","0","289","0.5","1.8","3.75","31","0","Intermediate","0","0","0.2","0.2","0.2","90","30","5","5","0","0","100","60","60","87","20","67","no","13","73","22","9","Intermediate","Intermediate",""
"pachelbel-canon-ground-bass","Beginner","roots","1","4/4","4","","backing","48","D major","D major","0.29","yes","yes","40","D3–B3","55","5","0","0","7","0","900","0.99","1","3.33","41","0","Beginner","0","0","0","1","1","74","40","5","5","0","0","100","100","100","100","100","100","no","50","0","0","0","Beginner","Beginner",""
"pachelbel-canon-ground-bass","Intermediate","bass","0","4/4","4","","backing","48","D major","D major","0.29","yes","yes","32","G2–D4","50","5","0","0","7","0","909","1","2","2.67","10","0","Beginner","0","0","0","0.2","0.2","93","32","11","7","0","0","100","75","91","100","100","75","yes","34","0","0","0","Beginner","Beginner",""
"pachelbel-canon-ground-bass","Advanced","melody","0","4/4","4","","backing","48","D major","D major","0.29","yes","yes","32","F#2–D4","50","6","0","0","12","10","909","1","1.8","2.67","3","0","Beginner","0","0","0.2","0.2","0.2","90","32","12","7","0","0","100","75","91","100","100","75","yes","41","6","2","3","Beginner","Beginner",""
"pachelbel-canon-ground-bass","Expert","melody","0","4/4","4","","backing","48","D major","D major","0.29","yes","yes","32","F#2–D4","50","6","0","0","12","10","909","1","1.8","2.67","3","0","Beginner","0","0","0.2","0.2","0.2","90","32","12","7","0","0","100","75","91","100","100","75","yes","41","6","2","3","Beginner","Beginner",""
"scheherazade-1st-movement","Beginner","roots","5","4/4","4","","backing","894.5","E major","E minor","0","no","no","542","D#3–C#4","57","4","0","0","9","2","423","0.85","1.7","2.42","84","37","Beginner","0","0","0","23.5","17.2","49","542","6","6","89","0","87","43","47","60","51","50","no","13","0","0","0","Advanced","Expert","Advanced→Expert"
"scheherazade-1st-movement","Intermediate","bass","0","4/4","4","","backing","894.5","E major","E minor","0","no","no","388","C2–D4","48","5","0","0","9","5","334","0.67","11.6","1.74","43","37","Beginner","0","0","0","11.2","11.2","80","388","24","12","132","23","80","43","50","63","47","50","no","13","24","84","0","Advanced","Expert","Advanced→Expert"
"scheherazade-1st-movement","Advanced","melody","0","4/4","4","","backing","894.5","E major","E minor","0","no","no","723","C2–D4","47","6","0","0","12","18","250","0.5","11.4","3.23","19","37","Intermediate","0","0","0","6.2","3.4","60","723","27","12","241","47","77","43","56","68","24","48","yes","16","29","182","155","Advanced","Expert","Advanced→Expert"
"scheherazade-1st-movement","Expert","melody","1","4/4","4","","backing","894.5","E major","E minor","0","no","no","2084","C2–D4","48","9","88","0","12","18","10","0.02","11.4","9.32","6","37","Expert","0","0","0","6.2","3.4","79","2084","27","12","702","171","77","39","49","61","25","44","yes","15","26","472","389","Advanced","Expert","Advanced→Expert"
"scheherazade-2nd-movement-part-1","Beginner","roots","4","4/4","4","","backing","2093.1","B minor","B minor","0.14","no","yes","1281","G2–E3","47","5","0","0","9","3","421","0.84","1.7","2.45","72","0","Beginner","0","0","-0.2","28.3","26.8","50","1281","6","6","136","136","89","44","45","49","41","59","no","29","0","0","0","Intermediate","Advanced","Intermediate→Advanced"
"scheherazade-2nd-movement-part-1","Intermediate","bass","0","4/4","4","","backing","2093.1","B minor","B minor","0.14","no","yes","1281","C2–D4","47","5","0","0","9","9","334","0.67","26.8","2.45","38","37","Beginner","0","0","-0.2","13.6","13.6","72","1281","24","12","271","174","79","46","49","54","44","54","no","17","23","272","0","Intermediate","Advanced","Intermediate→Advanced"
"scheherazade-2nd-movement-part-1","Advanced","melody","1","4/4","4","","backing","2093.1","B minor","B minor","0.14","no","yes","1681","C2–D4","50","10","65","0","12","14","250","0.5","19.8","3.21","26","37","Beginner","0","0","0","10","4.4","58","1681","27","12","272","189","84","45","51","62","36","50","yes","15","23","359","190","Intermediate","Advanced","Intermediate→Advanced"
"scheherazade-2nd-movement-part-1","Expert","melody","1","4/4","4","","backing","2093.1","B minor","B minor","0.14","no","yes","3203","C2–D4","47","8","31","0","12","15","10","0.02","19.8","6.12","16","37","Advanced","0","0","0","10","4.1","71","3203","27","12","702","493","78","40","45","60","34","45","yes","14","26","765","449","Intermediate","Advanced","Intermediate→Advanced"
"scheherazade-3rd-movement","Beginner","roots","4","4/4","4","","backing","963.1","G major","G major","0.2","yes","yes","702","G2–F3","48","9","60","0","8","1","422","0.84","1.6","2.92","87","37","Beginner","1.3","0.6","0.2","11.1","10.2","56","702","6","6","139","0","80","37","43","56","50","47","no","50","0","0","0","Intermediate","Intermediate",""
"scheherazade-3rd-movement","Intermediate","bass","0","4/4","4","","backing","963.1","G major","G major","0.2","yes","yes","329","C2–C#4","45","5","0","0","9","9","335","0.67","15.6","1.37","37","37","Beginner","0","0","0","4","4","89","329","23","12","96","13","71","46","53","62","58","55","no","28","31","84","0","Intermediate","Intermediate",""
"scheherazade-3rd-movement","Advanced","melody","1","4/4","4","","backing","963.1","G major","G major","0.2","yes","yes","702","C2–D4","47","9","27","0","12","16","250","0.5","13.6","2.92","18","37","Beginner","0","0","-0.2","2.7","2.7","71","702","27","12","170","41","76","43","52","71","23","48","yes","21","23","150","98","Intermediate","Intermediate",""
"scheherazade-3rd-movement","Expert","melody","1","4/4","4","","backing","963.1","G major","G major","0.2","yes","yes","1096","C2–D4","47","8","14","0","12","13","13","0.03","13.6","4.55","12","37","Intermediate","0","0","-0.2","2.7","2.7","80","1096","27","12","322","78","71","41","51","69","23","47","yes","21","22","218","174","Intermediate","Intermediate",""
"atmosphere-study-drone","Beginner","roots","2","4/4","4","","backing","32","D major","D major","0.25","yes","yes","32","G2–D3","47","4","0","0","5","0","829","0.99","1","4","87","0","Beginner","0","0","0","0.3","0.3","76","32","4","4","0","0","100","50","50","56","100","94","no","63","0","0","0","Beginner","Beginner",""
"atmosphere-study-drone","Intermediate","bass","0","4/4","4","","backing","32","D major","D major","0.25","yes","yes","8","D2–B2","43","4","0","0","9","14","3333","4","4","1","43","0","Beginner","0","0","0","0","0","100","8","4","4","0","0","100","50","50","63","100","88","no","25","38","3","0","Beginner","Beginner",""
"atmosphere-study-drone","Advanced","melody","0","4/4","4","","backing","32","D major","D major","0.25","yes","yes","13","B2–A3","54","6","0","0","7","0","1666","2","3.6","1.63","0","0","Beginner","0","0","0.4","0.4","0.4","90","13","7","7","0","0","100","62","77","92","23","62","yes","31","0","0","1","Beginner","Beginner",""
"atmosphere-study-drone","Expert","melody","0","4/4","4","","backing","32","D major","D major","0.25","yes","yes","13","B2–A3","54","6","0","0","7","0","1666","2","3.6","1.63","0","0","Beginner","0","0","0.4","0.4","0.4","90","13","7","7","0","0","100","62","77","92","23","62","yes","31","0","0","1","Beginner","Beginner",""
"balada-study-a-minor","Beginner","roots","1","4/4","4","","backing","32","C major","C major","0","no","yes","32","C3–A3","55","5","0","0","9","3","678","0.99","1","4","77","0","Beginner","0","0","0","0.3","0.3","79","32","4","4","0","0","100","78","78","78","100","100","no","38","0","0","0","Beginner","Beginner",""
"balada-study-a-minor","Intermediate","bass","0","4/4","4","","backing","32","C major","C major","0","no","yes","8","F2–C3","45","5","0","0","7","0","2727","4","4","1","0","0","Beginner","0","0","0","0","0","100","8","4","4","0","0","100","88","88","88","100","100","no","13","25","2","0","Beginner","Beginner",""
"balada-study-a-minor","Advanced","melody","0","4/4","4","","backing","32","C major","C major","0","no","yes","36","C2–F3","47","5","0","0","12","3","340","0.5","3.6","4.5","3","0","Beginner","0","0","0.4","0.2","0.2","90","36","10","7","0","0","100","64","67","97","31","64","yes","31","19","5","0","Beginner","Beginner",""
"balada-study-a-minor","Expert","melody","0","4/4","4","","backing","32","C major","C major","0","no","yes","36","C2–F3","47","5","0","0","12","3","340","0.5","3.6","4.5","3","0","Beginner","0","0","0.4","0.2","0.2","90","36","10","7","0","0","100","64","67","97","31","64","yes","31","19","5","0","Beginner","Beginner",""
"chiptune-study-c-lydian","Beginner","roots","1","4/4","4","","backing","32","G major","G major","0.1","no","yes","26","G2–D3","48","5","0","0","7","0","463","1.14","1.3","3.25","80","0","Beginner","0","0","0","0.4","0.4","78","26","3","3","0","0","100","96","96","96","100","100","no","62","0","0","0","Advanced","Advanced",""
"chiptune-study-c-lydian","Intermediate","bass","0","4/4","4","","backing","32","G major","G major","0.1","no","yes","8","G2–D3","48","5","0","0","7","0","1621","4","4","1","29","0","Beginner","0","0","0","0","0","100","8","3","3","0","0","100","100","100","100","100","100","no","63","0","0","0","Advanced","Advanced",""
"chiptune-study-c-lydian","Advanced","melody","0","4/4","4","","backing","32","G major","G major","0.1","no","yes","28","C2–C3","42","6","0","0","9","7","405","1","3.6","3.5","11","0","Beginner","0","0","0.4","1.1","1.1","49","28","8","7","0","0","100","61","61","86","25","68","no","36","54","11","3","Advanced","Advanced",""
"chiptune-study-c-lydian","Expert","melody","0","4/4","4","","backing","32","G major","G major","0.1","no","yes","57","C2–C3","42","6","0","0","11","7","202","0.5","3.6","7.13","0","0","Advanced","0","0","0.4","0.1","0.1","90","57","8","7","0","0","100","54","56","82","18","60","no","30","58","26","7","Advanced","Advanced",""
"riff-study-1-d-minor","Beginner","roots","1","4/4","4","","backing","60","D minor","D minor","0.24","yes","yes","40","A#2–F3","50","5","0","0","7","0","445","0.98","1.6","2.67","74","0","Beginner","0","0","0","1.1","1.1","67","40","4","4","0","0","100","93","93","98","80","95","no","73","0","0","0","Intermediate","Intermediate",""
"riff-study-1-d-minor","Intermediate","bass","0","4/4","4","","backing","60","D minor","D minor","0.24","yes","yes","51","D2–F3","38","5","0","0","9","2","432","0.95","4","3.4","32","0","Beginner","0","0","0","0.5","0.5","60","51","10","7","0","0","100","55","55","73","100","61","no","14","73","37","0","Intermediate","Intermediate",""
"riff-study-1-d-minor","Advanced","melody","0","4/4","4","","backing","60","D minor","D minor","0.24","yes","yes","53","D2–A3","40","5","0","0","10","2","454","1","3.6","3.53","27","0","Beginner","0","0","0.4","0.5","0.5","56","53","10","7","0","0","100","53","53","74","94","58","no","15","70","37","0","Intermediate","Intermediate",""
"riff-study-1-d-minor","Expert","melody","0","4/4","4","","backing","60","D minor","D minor","0.24","yes","yes","98","C2–A3","40","5","0","0","12","3","227","0.5","3.6","6.54","29","0","Intermediate","0","0","0.4","0.4","0.4","90","98","13","7","0","0","100","53","53","76","95","61","no","12","74","71","0","Intermediate","Intermediate",""
"riff-study-2-odd-meter","Beginner","roots","4","7/8","3.5","yes","backing","36","E minor","E minor","0.14","no","yes","20","G2–F3","52","3","0","0","9","11","466","1.17","1.5","2.22","68","0","Beginner","0","0","0","2.5","2.5","62","20","3","3","4","4","80","90","90","90","65","95","no","10","0","0","0","Advanced","Advanced",""
"riff-study-2-odd-meter","Intermediate","bass","0","7/8","3.5","yes","backing","36","E minor","E minor","0.14","no","yes","32","D2–G3","41","5","0","0","8","3","380","0.95","3.5","3.56","10","0","Beginner","0","0","0","1.1","1.1","55","32","9","7","10","10","69","47","47","69","100","53","no","6","56","18","0","Advanced","Advanced",""
"riff-study-2-odd-meter","Advanced","melody","0","7/8","3.5","yes","backing","36","E minor","E minor","0.14","no","yes","34","D2–B3","43","5","0","0","7","0","400","1","2.3","3.78","3","0","Beginner","0","0","0.2","1.1","1.1","48","34","9","6","10","10","71","44","47","71","91","50","no","6","50","17","0","Advanced","Advanced",""
"riff-study-2-odd-meter","Expert","melody","0","7/8","3.5","yes","backing","36","E minor","E minor","0.14","no","yes","68","D2–B3","43","5","0","0","7","0","200","0.5","2.3","7.56","3","0","Advanced","0","0","0.2","0.1","0.1","90","68","13","7","14","14","79","47","51","78","91","56","no","18","46","31","0","Advanced","Advanced",""
"riff-study-3-phrygian-dominant","Beginner","roots","3","4/4","4","","backing","48","E major","E major","0.09","no","yes","24","E3–A3","52","3","0","0","5","0","536","1.5","2","2","70","0","Beginner","0","0","0","1.5","1.5","77","24","3","3","6","6","75","100","100","100","63","100","no","8","0","0","0","Advanced","Expert","Advanced→Expert"
"riff-study-3-phrygian-dominant","Intermediate","bass","0","4/4","4","","backing","48","E major","E major","0.09","no","yes","37","D2–E3","44","5","0","0","8","3","357","1","4","3.08","14","37","Intermediate","0","0","0","0.8","0.8","67","37","8","7","10","5","73","59","59","84","100","70","no","0","49","18","0","Advanced","Expert","Advanced→Expert"
"riff-study-3-phrygian-dominant","Advanced","melody","0","4/4","4","","backing","48","E major","E major","0.09","no","yes","39","D2–C4","44","6","0","0","7","0","268","0.75","3.6","3.25","13","37","Intermediate","0","0","0.4","2.4","2.4","46","39","12","7","12","6","69","59","62","85","87","67","no","3","49","19","4","Advanced","Expert","Advanced→Expert"
"riff-study-3-phrygian-dominant","Expert","melody","0","4/4","4","","backing","48","E major","E major","0.09","no","yes","93","D2–C4","41","6","0","0","12","1","89","0.25","3.6","7.75","11","37","Expert","0","0","0.4","2.2","2.2","83","93","14","7","26","19","72","44","46","71","86","54","no","5","51","47","13","Advanced","Expert","Advanced→Expert"
"3-doors-down-kryptonite","Beginner","roots","2","4/4","4","","backing","383.2","B minor","B minor","0.17","no","yes","383","G2–F#3","47","4","0","0","7","0","606","1","1","4","64","0","Beginner","0","0","0","0.3","0.3","82","383","5","5","0","0","100","90","90","91","98","91","no","22","0","0","0","Beginner","Beginner",""
"3-doors-down-kryptonite","Intermediate","bass","0","4/4","4","","backing","383.2","B minor","B minor","0.17","no","yes","271","G2–F#3","47","4","0","0","7","0","455","0.75","15.2","2.83","49","0","Beginner","0","0","0","0.7","0.7","73","271","5","5","0","0","100","90","90","90","99","91","no","23","0","0","0","Beginner","Beginner",""
"3-doors-down-kryptonite","Advanced","melody","0","4/4","4","","backing","383.2","B minor","B minor","0.17","no","yes","354","D2–A3","47","6","0","0","12","7","303","0.5","2.4","3.7","10","0","Beginner","0","0","7.3","66.1","66.1","45","354","12","7","0","0","100","54","69","83","42","58","yes","27","19","68","50","Beginner","Beginner",""
"3-doors-down-kryptonite","Expert","melody","0","4/4","4","","backing","383.2","B minor","B minor","0.17","no","yes","354","D2–A3","47","6","0","0","12","7","303","0.5","2.4","3.7","10","0","Beginner","0","0","7.3","66.1","66.1","46","354","12","7","0","0","100","54","69","83","42","58","yes","27","19","68","50","Beginner","Beginner",""
"30-seconds-to-mars-kings-and-queens","Beginner","roots","4","4/4","4","","backing","820","E♭ major","E♭ major","0.17","no","yes","304","C#2–F3","51","10","282","0","9","5","546","1.5","2.8","1.48","74","37","Beginner","0","0","0","16","16","60","304","6","6","12","0","96","79","92","92","89","84","yes","3","4","12","0","Intermediate","Advanced","Intermediate→Advanced"
"30-seconds-to-mars-kings-and-queens","Intermediate","bass","1","4/4","4","","backing","820","E♭ major","E♭ major","0.17","no","yes","180","C#2–F3","44","10","38","0","9","1","363","1","16","0.88","40","37","Beginner","0","0","0","8","0.5","97","180","8","6","10","0","94","87","92","92","87","91","yes","3","39","70","0","Intermediate","Advanced","Intermediate→Advanced"
"30-seconds-to-mars-kings-and-queens","Advanced","melody","1","4/4","4","","backing","820","E♭ major","E♭ major","0.17","no","yes","250","D2–A#3","55","8","168","0","12","17","363","1","4","1.22","18","37","Intermediate","0","0","82","158","150.5","20","250","10","6","0","0","100","23","45","66","12","34","yes","4","5","12","48","Intermediate","Advanced","Intermediate→Advanced"
"30-seconds-to-mars-kings-and-queens","Expert","melody","1","4/4","4","","backing","820","E♭ major","E♭ major","0.17","no","yes","490","D2–A#3","55","8","249","0","12","18","181","0.5","4","2.39","32","37","Advanced","0","0","82","158","150","35","490","9","6","0","0","100","29","46","65","19","42","yes","0","3","16","163","Intermediate","Advanced","Intermediate→Advanced"
"30-seconds-to-mars-the-kill","Beginner","roots","1","3/4","3","yes","backing","706","E minor","E minor","0.07","no","yes","327","G2–E3","48","5","0","0","9","3","484","1.5","3","1.85","74","0","Beginner","0","0","0","3","3","77","327","6","6","0","0","100","68","79","85","92","73","yes","25","0","0","0","Intermediate","Intermediate",""
"30-seconds-to-mars-the-kill","Intermediate","bass","0","3/4","3","yes","backing","706","E minor","E minor","0.07","no","yes","319","G2–B3","48","5","0","0","9","2","483","1.5","3.5","1.81","70","0","Beginner","0","0","0","3.5","3.5","85","319","10","7","0","0","100","65","74","82","92","71","yes","21","0","0","0","Intermediate","Intermediate",""
